year	duration_min	rating	name_rus	director	name_eng	vote_count	main_actors
2013	100	6.187	Сумасшедший вид любви	Сара Сигель-Магнесс	Crazy Kind of Love	692	['Вирджиния Мэдсен', 'Сэм Трэммелл']
2013	95	6.186	Ниндзя 2	Айзек Флорентайн	Ninja: Shadow of a Tear	2038	['Скотт Эдкинс', 'Канэ Косуги']
2012	90	6.185	Любовный переплет	Джулиан Фарино	The Oranges	6167	['Хью Лори', 'Лейтон Мистер']
2015	96	6.176	Ультраамериканцы	Нима Нуризаде	American Ultra	55467	['Джесси Айзенберг', 'Кристен Стюарт']
2017	81	6.176	Стена	Даг Лайман	The Wall	1501	['Аарон Тейлор-Джонсон', 'Джон Сина']
2012	118	6.174	Византия	Нил Джордан	Byzantium	12591	['Сирша Ронан', 'Джемма Артертон']
2015	107	6.169	Наш бренд – кризис	Дэвид Гордон Грин	Our Brand Is Crisis	2063	['Сандра Буллок', 'Билли Боб Торнтон']
2014	118	6.162	Избави нас от лукавого	Скотт Дерриксон	Deliver Us from Evil	34931	['Шон Харрис', 'Эрик Бана']
2012	100	6.159	Добро пожаловать в капкан	Эрен Криви	Welcome to the Punch	9699	['Джеймс МакЭвой', 'Марк Стронг']
2014	111	6.155	Игрок	Руперт Уайатт	The Gambler	20913	['Марк Уолберг', 'Джон Гудман']
2016	81	6.153	Тишина	Майк Флэнеган	Hush	5650	['Кейт Сигел', 'Джон Галлахер мл.']
2012	107	6.152	Дети сексу не помеха	Дженнифер Уэстфелд	Friends with Kids	11088	['Адам Скотт', 'Дженнифер Уэстфелд']
2014	100	6.151	Оно	Дэвид Роберт Митчелл	It Follows	29514	['Майка Монро', 'Кейр Гилкрист']
2017	109	6.148	Проклятие Аннабель: Зарождение зла	Дэвид Ф. Сандберг	Annabelle: Creation	13214	['Энтони ЛаПалья', 'Самара Ли']
2014	95	6.146	Похищение Фредди Хайнекена	Даниэль Альфредсон	Kidnapping Mr. Heineken	6007	['Джим Стёрджесс', 'Сэм Уортингтон']
2014	108	6.145	Несносные боссы 2	Шон Андерс	Horrible Bosses 2	39476	['Джейсон Бейтман', 'Джейсон Судейкис']
2014	109	6.143	Серена	Сюзанна Бир	Serena	19561	['Брэдли Купер', 'Дженнифер Лоуренс']
2013	101	6.143	Девочка на велосипеде	Джереми Левин	Girl on a Bicycle	609	['Нора Чирнер', 'Винченцо Амато']
2014	83	6.14	Этим утром в Нью-Йорке	Фил Олден Робинсон	The Angriest Man in Brooklyn	11882	['Робин Уильямс', 'Мила Кунис']
2013	103	6.14	Ровер	Дэвид Мишо	The Rover	10028	['Гай Пирс', 'Роберт Паттинсон']
2015	102	6.139	Дневник девочки-подростка	Мариэль Хеллер	The Diary of a Teenage Girl	4116	['Бел Паули', 'Уилли']
2012	94	6.135	Козы	Кристофер Нил	Goats	1400	['Дэвид Духовны', 'Вера Фармига']
2012	86	6.134	Никто не выжил	Рюхэй Китамура	No One Lives	17957	['Люк Эванс', 'Эделейд Клеменс']
2016	100	6.133	Очень плохие мамочки	Джон Лукас	Bad Moms	23191	['Мила Кунис', 'Кэтрин Хан']
2012	85	6.133	Жизнь в мотеле	Алан Польски	The Motel Life	593	['Гаррет Бэкстром', 'Эндрю Ли']
2012	121	6.132	Грязные игры	Роберт Редфорд	The Company You Keep	4385	['Роберт Редфорд', 'Шайа ЛаБаф']
2013	90	6.127	Страсти Дон Жуана	Джозеф Гордон-Левитт	Don Jon	46753	['Джозеф Гордон-Левитт', 'Скарлетт Йоханссон']
2016	100	6.126	Джеки	Пабло Ларраин	Jackie	10714	['Натали Портман', 'Питер Сарсгаард']
2016	110	6.124	Лунный свет	Барри Дженкинс	Moonlight	23309	['Алекс Р. Хибберт', 'Эштон Сандерс']
2013	94	6.124	Тебе конец!	Адам Вингард	You're Next	14869	['Шарни Винсон', 'Николас Туччи']
2016	109	6.122	Абсолютная власть	Даниэль Рагуссис	Imperium	14112	['Дэниэл Рэдклифф', 'Тони Коллетт']
2012	112	6.119	Спасибо за обмен	Стюарт Блумберг	Thanks for Sharing	3216	['Марк Руффало', 'Тим Роббинс']
2014	90	6.117	Вернись ко мне	Пол Лейден	Come Back to Me	2018	['Кэти Уолдер', 'Джон Абрахамс']
2012	124	6.116	Немножко женаты	Николас Столлер	The Five-Year Engagement	16406	['Джейсон Сигел', 'Эмили Блант']
2013	93	6.116	Когда лучший друг – гей	Даррен Стейн	G.B.F.	1000	['Майкл Дж. Виллетт', 'Пол Яконо']
2017	93	6.114	Роковое искушение	София Коппола	The Beguiled	5448	['Колин Фаррелл', 'Николь Кидман']
2016	118	6.11	Неоновый демон	Николас Виндинг Рефн	The Neon Demon	34478	['Эль Фаннинг', 'Карл Глусман']
2016	111	6.109	Новая эра Z	Колм МакКарти	The Girl with All the Gifts	18770	['Джемма Артертон', 'Доминик Типпер']
2014	83	6.107	Затаившись	Мэтт Даффер	Hidden	6850	['Александр Скарсгард', 'Андреа Райзборо']
2012	93	6.103	Шесть пуль	Эрни Барбараш	6 Bullets	2318	['Жан-Клод Ван Дамм', 'Джо Флениган']
2015	99	6.102	Правдивая история	Руперт Гулд	True Story	6258	['Джона Хилл', 'Джеймс Франко']
2017	108	6.102	Вымогательство	Филипп Волкен	Extortion	1027	['Эйон Бэйли', 'Бетани Джои Ленц']
2012	85	6.098	Грязная кампания за честные выборы	Джей Роуч	The Campaign	14470	['Уилл Феррелл', 'Зак Галифианакис']
2012	116	6.095	Папа-досвидос	Шон Андерс	That's My Boy	37441	['Адам Сэндлер', 'Энди Сэмберг']
2014	93	6.095	Мисс Переполох	Питер Богданович	She's Funny That Way	13429	['Оуэн Уилсон', 'Имоджен Путс']
2012	93	6.094	Привет, мне пора	Тодд Луисо	Hello I Must Be Going	2155	['Мелани Лински', 'Кристофер Эбботт']
2016	115	6.091	Три девятки	Джон Хиллкоут	Triple 9	20119	['Чиветель Эджиофор', 'Кейси Аффлек']
2015	98	6.087	План Мэгги	Ребекка Миллер	Maggie's Plan	2399	['Грета Гервиг', 'Итан Хоук']
2013	102	6.086	Открытая могила	Гонсало Лопес-Гальего	Open Grave	5489	['Шарлто Копли', 'Томас Кречман']
2013	105	6.084	Мастер тай-цзи	Киану Ривз	Man of Tai Chi	9000	['Тайгер Чэнь', 'Киану Ривз']
2012	90	6.082	Си-бемоль-кокос	Фил Дорлинг	Why Stop Now?	805	['Джесси Айзенберг', 'Мелисса Лео']
2012	85	6.077	Виолет и Дейзи	Джеффри Флетчер	Violet & Daisy	5639	['Сирша Ронан', 'Алексис Бледел']
2013	91	6.076	Зловещие мертвецы: Черная книга	Федерико Альварес	Evil Dead	30226	['Джейн Леви', 'Шайло Фернандес']
2016	108	6.074	Американская пастораль	Юэн МакГрегор	American Pastoral	3373	['Юэн МакГрегор', 'Дженнифер Коннелли']
2012	94	6.067	Боксер	Джейсон Коннери	The Philly Kid	1303	['Уэс Чэтэм', 'Девон Сава']
2014	94	6.066	Сердце вдребезги	Джастин Рирдон	Playing It Cool	4409	['Крис Эванс', 'Мишель Монахэн']
2012	99	6.065	Зажги меня	Кэтрин Хардвик	Plush	1658	['Эмили Браунинг', 'Завьер Сэмюэл']
2013	91	6.064	Очень хорошие девочки	Наоми Фонер	Very Good Girls	5190	['Дакота Фаннинг', 'Элизабет Олсен']
2013	120	6.062	Роковая страсть	Джеймс Грэй	The Immigrant	4056	['Марион Котийяр', 'Хоакин Феникс']
2014	110	6.061	Чёрное море	Кевин Макдональд	Black Sea	12662	['Джуд Лоу', 'Скут МакНэри']
2015	113	6.061	Темные тайны	Жиль Паке-Бреннер	Dark Places	7173	['Шарлиз Терон', 'Стерлинг Джеринс']
2014	112	6.059	Интервью	Сет Роген	The Interview	25118	['Джеймс Франко', 'Сет Роген']
2015	102	6.058	Дедушка легкого поведения	Дэн Мазер	Dirty Grandpa	40540	['Роберт Де Ниро', 'Зак Эфрон']
2014	102	6.057	Парни из Абу-Грейб	Люк Моран	Boys of Abu Ghraib	538	['Люк Моран', 'Шон Эстин']
2015	85	6.055	Всё могу	Терри Джонс	Absolutely Anything	21195	['Саймон Пегг', 'Кейт Бекинсейл']
2013	88	6.054	Va-банк	Брэд Фурман	Runner Runner	32619	['Джастин Тимберлейк', 'Бен Аффлек']
2012	92	6.053	Неудержимый	Уолтер Хилл	Bullet to the Head	16435	['Сильвестр Сталлоне', 'Санг Кенг']
2012	99	6.05	Суши гёл	Керн Сэкстон	Sushi Girl	4044	['Джеймс Дювал', 'Ноа Хэтэуэй']
2015	90	6.046	Анестезия	Тим Блейк Нельсон	Anesthesia	784	['Сэм Уотерстон', 'Кристен Стюарт']
2014	90	6.045	Убей меня трижды	Крив Стендерс	Kill Me Three Times	3964	['Саймон Пегг', 'Стив Ле Маркванд']
2012	109	6.04	Город порока	Аллен Хьюз	Broken City	10398	['Марк Уолберг', 'Рассел Кроу']
2014	103	6.04	Хорошее убийство	Эндрю Никкол	Good Kill	2348	['Итан Хоук', 'Брюс Гринвуд']
2012	134	6.039	Любовь по-взрослому	Джадд Апатоу	This Is 40	14545	['Лесли Манн', 'Пол Радд']
2013	107	6.037	Конец света 2013: Апокалипсис по-голливудски	Сет Роген	This Is the End	51762	['Сет Роген', 'Джей Барушель']
2015	99	6.037	Он никогда не умирал	Джейсон Кравчик	He Never Died	1333	['Генри Роллинз', 'Бу Бу Стюарт']
2013	90	6.033	Черные метки	Джонатан Собол	The Art of the Steal	2049	['Курт Рассел', 'Джей Барушель']
2015	111	6.028	Лайф	Антон Корбейн	Life	2766	['Роберт Паттинсон', 'Питер Лукас']
2012	92	6.003	Учитель английского	Крейг Зиск	The English Teacher	3784	['Джулианна Мур', 'Майкл Ангарано']
2016	113	6.001	Долгий путь Билли Линна в перерыве футбольного матча	Энг Ли	Billy Lynn's Long Halftime Walk	2286	['Джо Элвин', 'Кристен Стюарт']
2012	90	6.0	Эксперимент «Повиновение»	Крэйг Зобел	Compliance	6324	['Энн Дауд', 'Мэтт Сервитто']
2016	90	5.999	Война	Дито Монтиель	Man Down	4247	['Шайа ЛаБаф', 'Джай Кортни']
2015	115	5.996	Супер Майк XXL	Грегори Джейкобс	Magic Mike XXL	16488	['Ченнинг Татум', 'Джо Манганьелло']
2012	88	5.988	Простые истины	Джеймс Кокс	Straight A's	1746	['Райан Филипп', 'Анна Пэкуин']
2017	122	5.984	Чужой: Завет	Ридли Скотт	Alien: Covenant	54017	['Майкл Фассбендер', 'Кэтрин Уотерстон']
2017	95	5.979	Похищение	Луис Прието	Kidnap	3986	['Холли Берри', 'Сэйдж Корреа']
2013	90	5.976	Только Бог простит	Николас Виндинг Рефн	Only God Forgives	13262	['Райан Гослинг', 'Кристин Скотт Томас']
2013	90	5.969	Большая свадьба	Джастин Закэм	The Big Wedding	21336	['Роберт Де Ниро', 'Дайан Китон']
2015	123	5.962	Я видел свет	Марк Абрахам	I Saw the Light	933	['Том Хиддлстон', 'Элизабет Олсен']
2013	90	5.955	Собутыльники	Джо Сванберг	Drinking Buddies	7373	['Оливия Уайлд', 'Джейк Джонсон']
2014	0	5.951	Париж: Город мёртвых	Джон Эрик Даудл	As Above	17657	['Пердита Викс', 'Бен Фельдман']
2014	91	5.946	Ограбление по-американски	Сарик Андреасян	American Heist	25999	['Хейден Кристенсен', 'Эдриан Броуди']
2012	101	5.946	Газетчик	Ли Дэниелс	The Paperboy	9575	['Мэттью МакКонахи', 'Зак Эфрон']
2017	91	5.946	Оно приходит ночью	Трей Эдвард Шульц	It Comes at Night	7786	['Джоэл Эдгертон', 'Кристофер Эбботт']
2014	97	5.945	Соседи. На тропе войны	Николас Столлер	Neighbors	51004	['Сет Роген', 'Роуз Бирн']
2015	100	5.942	Бронза	Брайан Бакли	The Bronze	1155	['Мелисса Рауш', 'Гэри Коул']
2013	116	5.933	Джими Хендрикс	Джон Ридли	Jimi: All Is by My Side	1283	['Андре Бенджамин', 'Хейли Этвелл']
2013	85	5.932	Судная ночь	Джеймс ДеМонако	The Purge	46533	['Итан Хоук', 'Лина Хиди']
2013	90	5.932	В бегах	Дэвид Лоури	Ain't Them Bodies Saints	2210	['Кейси Аффлек', 'Руни Мара']
2016	118	5.928	Плохая партия	Ана Лили Амирпур	The Bad Batch	2205	['Сьюки Уотерхаус', 'Джейсон Момоа']
2012	105	5.925	Президент Линкольн: Охотник на вампиров	Тимур Бекмамбетов	Abraham Lincoln: Vampire Hunter	51493	['Бенджамин Уокер', 'Доминик Купер']
2016	120	5.918	Рождение нации	Нэйт Паркер	The Birth of a Nation	1526	['Нэйт Паркер', 'Арми Хаммер']
2015	125	5.914	Третий лишний 2	Сет МакФарлейн	Ted 2	47659	['Марк Уолберг', 'Сет МакФарлейн']
2015	101	5.913	Рождество	Джонатан Левин	The Night Before	6496	['Джозеф Гордон-Левитт', 'Сет Роген']
2014	88	5.912	Божий карман	Джон Слэттери	God's Pocket	767	['Филип Сеймур Хоффман', 'Ричард Дженкинс']
2015	93	5.907	Только правда	Кортни Хант	The Whole Truth	2804	['Киану Ривз', 'Рене Зеллвегер']
2014	84	5.903	Свой ребёнок	Джиллиан Робеспьер	Obvious Child	682	['Дженни Слейт', 'Пол Бриганти']
2013	112	5.899	Ночные движения	Келли Райхардт	Night Moves	874	['Джесси Айзенберг', 'Дакота Фаннинг']
2012	102	5.895	Дружинники	Акива Шаффер	The Watch	27458	['Бен Стиллер', 'Винс Вон']
2013	100	5.893	Телекинез	Кимберли Пирс	Carrie	66003	['Хлоя Грейс Морец', 'Джулианна Мур']
2015	93	5.893	Скауты против зомби	Кристофер Лэндон	Scouts Guide to the Zombie Apocalypse	12037	['Тай Шеридан', 'Логан Миллер']
2015	90	5.893	Заброшенный	Джон Кассар	Forsaken	1224	['Esther Purves-Smith', 'Кифер Сазерленд']
2013	96	5.893	Замкнутая цепь	Джон Краули	Closed Circuit	1222	['Эрик Бана', 'Ребекка Холл']
2014	99	5.887	Как заниматься любовью по-английски	Том Вон	How to Make Love Like an Englishman	5620	['Пирс Броснан', 'Сальма Хайек']
2016	107	5.875	Несколько женщин	Келли Райхардт	Certain Women	1251	['Лора Дерн', 'Кристен Стюарт']
2013	95	5.874	Пресная вода	Логан Миллер	Sweetwater	596	['Дженьюэри Джонс', 'Эд Харрис']
2014	94	5.871	Этот неловкий момент	Том Гормикэн	That Awkward Moment	28362	['Зак Эфрон', 'Майлз Теллер']
2013	91	5.868	Сезон убийц	Марк Стивен Джонсон	Killing Season	8415	['Джон Траволта', 'Роберт Де Ниро']
2012	88	5.867	Пешка	Дэвид А. Армстронг	Pawn	634	['Никки Рид', 'Форест Уитакер']
2015	101	5.865	Любовь без обязательств	Лесли Хэдланд	Sleeping with Other People	4312	['Джейсон Судейкис', 'Элисон Бри']
2012	95	5.864	Медальон	Саймон Уэст	Stolen	18662	['Николас Кейдж', 'Джош Лукас']
2013	104	5.864	Дитя божье	Джеймс Франко	Child of God	896	['Скотт Хэйз', 'Тим Блейк Нельсон']
2013	91	5.861	Дело в тебе	Кэт Койро	A Case of You	3803	['Джастин Лонг', 'Эван Рэйчел Вуд']
2014	108	5.861	Прогулка по Миссисипи	Анна Боден	Mississippi Grind	1090	['Бен Мендельсон', 'Райан Рейнольдс']
2014	95	5.859	Как поймать монстра	Райан Гослинг	Lost River	5323	['Кристина Хендрикс', 'Йен де Кестекер']
2015	95	5.858	Мой парень – киллер	Пако Кабесас	Mr. Right	7074	['Сэм Рокуэлл', 'Анна Кендрик']
2017	100	5.857	Калифорнийский дорожный патруль	Дэкс Шепард	CHIPS	2502	['Майкл Пенья', 'Дэкс Шепард']
2014	95	5.857	Хакер	Акан Сатаев	Hacker	1052	['Каллэн МакОлифф', 'Baju Nakani']
2014	93	5.856	Поездка	Хелен Хант	Ride	526	['Хелен Хант', 'Брентон Туэйтс']
2012	92	5.85	Безвыходная ситуация	Йонас Окерлунд	Small Apartments	834	['Мэтт Лукас', 'Билли Кристал']
2015	90	5.846	Осторожнее с желаниями	Элизабет Аллен	Careful What You Wish For	1987	['Ник Джонас', 'Кики Харрис']
2017	100	5.846	Звёздный десант: Предатель Марса	Синдзи Арамаки	Starship Troopers: Traitor of Mars	753	['Каспер Ван Дин', 'Дина Мейер']
2015	116	5.845	Ганмен	Пьер Морель	The Gunman	7056	['Шон Пенн', 'Хавьер Бардем']
2014	115	5.843	Злостный видеоигровой задрот: Кино	Джеймс Рольф	Angry Video Game Nerd: The Movie	1163	['Джеймс Рольф', 'Джереми Суарес']
2014	107	5.841	Унижение	Барри Левинсон	The Humbling	2704	['Аль Пачино', 'Грета Гервиг']
2016	89	5.84	Полный расколбас	Грег Тирнан	Sausage Party	43271	['Сет Роген', 'Кристен Уиг']
2012	112	5.838	К чуду	Терренс Малик	To the Wonder	7669	['Бен Аффлек', 'Ольга Куриленко']
2012	105	5.834	Любой ценой	Рамин Бахрани	At Any Price	1476	['Деннис Куэйд', 'Зак Эфрон']
2014	93	5.833	На краю	Мэтт Шекман	Cut Bank	975	['Лиам Хемсворт', 'Тереза Палмер']
2012	90	5.829	Торжественный финал	Эухенио Мира	Grand Piano	2016	['Элайджа Вуд', 'Джон Кьюсак']
2016	89	5.829	Ловкость	Джастин Диллард	Sleight	729	['Джейкоб Латимор', 'Сейшелл Гэбриел']
2014	90	5.828	Цирюльник	Basel Owies	The Barber	650	['Скотт Гленн', 'Крис Кой']
2013	108	5.827	Призвание	Джейсон Стоун	The Calling	1442	['Сьюзен Сарандон', 'Джил Беллоуз']
2012	98	5.823	Жажда странствий	Дэвид Уэйн	Wanderlust	10393	['Пол Радд', 'Дженнифер Энистон']
2014	103	5.818	Восхождение Сокола	Эрни Барбараш	Falcon Rising	519	['Майкл Джей Уайт', 'Нил МакДонаф']
2013	107	5.816	Философы: Урок выживания	Джон Хаддлс	After the Dark	32603	['Софи Лоу', 'Джеймс Д’Арси']
2013	116	5.813	Единственный выстрел	Дэвид М. Розенталь	A Single Shot	1342	['Сэм Рокуэлл', 'Джеффри Райт']
2013	93	5.811	За кадром...	Лэйк Белл	In a World...	1204	['Лэйк Белл', 'Роб Кордри']
2016	92	5.807	Плохой Санта 2	Марк Уотерс	Bad Santa 2	13190	['Билли Боб Торнтон', 'Кэти Бейтс']
2014	102	5.802	Пятёрка лидеров	Крис Рок	Top Five	1955	['Крис Рок', 'Розарио Доусон']
2016	90	5.797	Штат Блу Маунтин: Восстание Тадлэнда	Лев Л. Спиро	Blue Mountain State: The Rise of Thadland	1890	['Алан Ричсон', 'Дэрин Брукс']
2014	77	5.797	Ублюдок	Патрик Брайс	Creep	663	['Патрик Брайс', 'Марк Дюпласс']
2014	118	5.795	Госпожа Бовари	Софи Бартез	Madame Bovary	1555	['Эзра Миллер', 'Миа Васиковска']
2012	85	5.794	Пентхаус с видом на север	Джозеф Рубин	Penthouse North	1516	['Мишель Монахэн', 'Майкл Китон']
2016	88	5.787	Эксперимент «Офис»	Грег МакЛин	The Belko Experiment	7575	['Джон Галлахер мл.', 'Тони Голдуин']
2014	110	5.784	Страховщик	Габе Ибаньес	Autómata	19303	['Антонио Бандерас', 'Дилан МакДермотт']
2015	112	5.776	Вымирание	Мигель Анхель Вивас	Extinction	4418	['Мэттью Фокс', 'Джеффри Донован']
2015	122	5.772	Лазурный берег	Анджелина Джоли	By the Sea	8061	['Брэд Питт', 'Анджелина Джоли']
2012	86	5.766	Умопомрачительные фантазии Чарли Свона-третьего	Роман Коппола	A Glimpse Inside the Mind of Charles Swan III	2362	['Чарли Шин', 'Джейсон Шварцман']
2012	80	5.764	Бесплатные образцы	Джей Гэммилл	Free Samples	696	['Джесс Вейкслер', 'Джесси Айзенберг']
2014	93	5.761	Партнеры по жизни	Сузанна Фогель	Life Partners	1281	['Гиллиан Джейкобс', 'Лейтон Мистер']
2013	95	5.761	Таинство	Тай Уэст	The Sacrament	1280	['Джо Сванберг', 'Эй Джей Боуэн']
2012	102	5.751	Гринго	Эдуардо Родригез	El Gringo	1073	['Скотт Эдкинс', 'Кристиан Слэйтер']
2015	107	5.746	Мордекай	Дэвид Кепп	Mortdecai	22758	['Джонни Депп', 'Гвинет Пэлтроу']
2014	99	5.743	Хулиган	Кэт Кэндлер	Hellion	2174	['Аарон Пол', 'Джульетт Льюис']
2015	113	5.742	Манхэттенская ночь	Брайан ДеКьюбелис	Manhattan Night	1338	['Эдриан Броуди', 'Ивонн Страховски']
2014	96	5.741	Работорговля	Экачай Уэкронгтам	Skin Trade	1006	['Дольф Лундгрен', 'Тони Джа']
2014	107	5.739	Звездная карта	Дэвид Кроненберг	Maps to the Stars	9359	['Джулианна Мур', 'Миа Васиковска']
2015	94	5.738	Лила и Ева	Чарльз Стоун III	Lila & Eve	751	['Виола Дэвис', 'Дженнифер Лопез']
2014	95	5.732	Проклятие Аннабель	Джон Р. Леонетти	Annabelle	25786	['Аннабелль Уоллис', 'Уорд Хортон']
2015	100	5.732	Падение Лондона	Бабак Наджафи	London Has Fallen	22555	['Джерард Батлер', 'Аарон Экхарт']
2013	108	5.732	Побудь в моей шкуре	Джонатан Глейзер	Under the Skin	18778	['Скарлетт Йоханссон', 'Джереми МакУильямс']
2017	94	5.73	Уилсон	Крэйг Джонсон	Wilson	1319	['Вуди Харрельсон', 'Лора Дерн']
2013	108	5.728	Мачете убивает	Роберт Родригес	Machete Kills	28065	['Дэнни Трехо', 'Мишель Родригес']
2014	0	5.728	Рио, я люблю тебя	Висенте Аморим	Rio	1804	['Бэзил Хоффман', 'Эмили Мортимер']
2017	116	5.727	Спасатели Малибу	Сет Гордон	Baywatch	23894	['Дуэйн Джонсон', 'Зак Эфрон']
2014	92	5.725	Взрослые новички	Росс Кац	Adult Beginners	608	['Роуз Бирн', 'Ник Кролл']
2017	100	5.718	Наваждение	Дениз Ди Нови	Unforgettable	4852	['Розарио Доусон', 'Кэтрин Хайгл']
2014	90	5.718	Пригородная готика	Ричард Бейтс мл.	Suburban Gothic	740	['Мэттью Грей Гублер', 'Кэт Деннингс']
2014	81	5.71	Кривая линия	Иэн Софтли	Curve	1725	['Джулианна Хаф', 'Тедди Сирс']
2015	103	5.708	Молния	Мора Стивенс	Zipper	774	['Патрик Уилсон', 'Лина Хиди']
2016	108	5.705	Судная ночь 3	Джеймс ДеМонако	The Purge: Election Year	16314	['Фрэнк Грилло', 'Элизабет Митчелл']
2016	86	5.704	Хорошие дети	Крис МакКой	Good Kids	1486	['Зои Дойч', 'Николас Браун']
2012	97	5.704	Офицер ранен	Брайан А Миллер	Officer Down	610	['Стивен Дорфф', 'Доминик Пёрселл']
2014	100	5.703	Что случилось прошлой ночью	Стив Пинк	About Last Night	1443	['Кевин Харт', 'Майкл Или']
2014	100	5.696	Крепись!	Этан Коэн	Get Hard	10122	['Уилл Феррелл', 'Кевин Харт']
2016	92	5.692	Другой мир: Войны крови	Анна Ферстер	Underworld: Blood Wars	17220	['Кейт Бекинсейл', 'Тео Джеймс']
2015	89	5.69	Монстры Юга	Роксанна Бенжамин	Southbound	2559	['Чад Виллелла', 'Мэттью Беттинелли']
2016	94	5.686	Последствия	Эллиотт Лестер	Aftermath	6935	['Арнольд Шварценеггер', 'Мэгги Грэйс']
2013	90	5.682	Взгляд зимы	Це Чун	Cold Comes the Night	1119	['Элис Ив', 'Урсула Паркер']
2014	108	5.675	Человек ноября	Роджер Дональдсон	The November Man	10976	['Пирс Броснан', 'Люк Брейси']
2016	92	5.674	Морган	Люк Скотт	Morgan	10685	['Кейт Мара', 'Аня Тейлор-Джой']
2014	92	5.669	Игра на выживание	Жан-Батист Леонетти	Beyond the Reach	4006	['Майкл Дуглас', 'Джереми Ирвин']
2014	95	5.664	Джентльмен грабитель	Тристан Паттерсон	Electric Slide	1442	['Джим Стёрджесс', 'Изабель Лукас']
2015	98	5.663	Джейн берет ружье	Гэвин О’Коннор	Jane Got a Gun	6366	['Натали Портман', 'Джоэл Эдгертон']
2012	96	5.662	Железный кулак	RZA	The Man with the Iron Fists	8373	['RZA', 'Рассел Кроу']
2013	91	5.66	Крутые чуваки (видео)	Крэйг Мосс	Bad Ass 2: Bad Asses	786	['Дэнни Трехо', 'Дэнни Гловер']
2012	86	5.657	Рыцари королевства Крутизны	Джо Линч	Knights of Badassdom	1492	['Райан Квантен', 'Стив Зан']
2013	86	5.648	Пораженный	Дерек Ли	Afflicted	1578	['Дерек Ли', 'Клифф Проуз']
2013	87	5.647	Элитное общество	София Коппола	The Bling Ring	27702	['Израэль Бруссар', 'Кэти Чанг']
2012	87	5.645	Холостячки	Лесли Хэдланд	Bachelorette	20564	['Кирстен Данст', 'Айла Фишер']
2017	105	5.64	Скайлайн 2	Лайам О’Доннелл	Beyond Skyline	584	['Фрэнк Грилло', 'Бояна Новакович']
2013	109	5.639	Саботаж	Дэвид Эйр	Sabotage	19695	['Арнольд Шварценеггер', 'Сэм Уортингтон']
2015	118	5.639	Сестры	Джейсон Мур	Sisters	7014	['Эми Полер', 'Тина Фей']
2015	93	5.639	Февраль	Оз Перкинс	February	784	['Эмма Робертс', 'Кирнан Шипка']
2015	124	5.635	Девушка без комплексов	Джадд Апатоу	Trainwreck	22703	['Эми Шумер', 'Билл Хейдер']
2015	110	5.633	Дуэль	Киран Дарси-Смит	The Duel	1867	['Вуди Харрельсон', 'Лиам Хемсворт']
2014	87	5.63	Последняя смена	Энтони ДиБлази	Last Shift	1095	['Джулиана Харкви', 'Джошуа Микель']
2012	93	5.628	Клин клином (видео)	Дэвид Баррет	Fire with Fire	4368	['Джош Дюамель', 'Розарио Доусон']
2016	98	5.627	Свадебный угар	Джейк Зиманский	Mike and Dave Need Wedding Dates	17698	['Зак Эфрон', 'Адам Дивайн']
2012	89	5.624	Цифровая радиостанция	Каспер Барфоэд	The Numbers Station	2109	['Джон Кьюсак', 'Малин Акерман']
2013	88	5.624	Взрослые дети развода	Стью Зичерман	A.C.O.D.	1262	['Адам Скотт', 'Ричард Дженкинс']
2012	0	5.622	Если хочешь хорошо провести время, звони…	Джеми Трэвис	For a Good Time	2112	['Лорен Миллер', 'Эри Грейнор']
2015	96	5.615	Хитмэн: Агент 47	Александр Бах	Hitman: Agent 47	27847	['Руперт Френд', 'Ханна Уэр']
2015	79	5.605	Ночевка	Патрик Брайс	The Overnight	1784	['Адам Скотт', 'Тейлор Шиллинг']
2013	91	5.603	Мой друг – гей	Кристофер Нельсон	Date and Switch	1000	['Николас Браун', 'Хантер Коуп']
2012	101	5.602	Призраки в Коннектикуте 2: Тени прошлого	Том Элкинс	The Haunting in Connecticut 2: Ghosts of Georgia	7039	['Эбигейл Спенсер', 'Эмили Элин Линд']
2016	105	5.6	Новогодний корпоратив	Джош Гордон	Office Christmas Party	16185	['Джейсон Бейтман', 'Оливия Манн']
2015	106	5.598	Рок на Востоке	Барри Левинсон	Rock the Kasbah	3037	['Билл Мюррей', 'Брюс Уиллис']
2013	80	5.596	Дом с паранормальными явлениями	Майкл Тиддес	A Haunted House	24460	['Марлон Уайанс', 'Эссенс Эткинс']
2015	88	5.593	Такса	Тодд Солондз	Wiener-Dog	2101	['Грета Гервиг', 'Дэнни ДеВито']
2012	98	5.591	Фантом	Тодд Робинсон	Phantom	2498	['Эд Харрис', 'Дэвид Духовны']
2016	104	5.583	В долине насилия	Тай Уэст	In a Valley of Violence	1040	['Итан Хоук', 'Джон Траволта']
2016	100	5.58	Киану	Питер Атенсио	Keanu	1259	['Джордан Пил', 'Кигэн-Майкл Ки']
2014	83	5.577	Одержимость Майкла Кинга	Дэвид Юнг	The Possession of Michael King	8247	['Шэйн Джонсон', 'Элла Андерсон']
2013	98	5.576	Полуденная нега	Джилл Солоуэй	Afternoon Delight	586	['Джуно Темпл', 'Кэтрин Хан']
2015	85	5.569	В поисках огня	Джо Сванберг	Digging for Fire	564	['Орландо Блум', 'Бри Ларсон']
