	director	duration_min	rating	vote_count	year	main_actors	name_rus	name_eng
164	Кэтрин Бигелоу	157	6.707000000000001	19213	2012	['Джессика Честейн', 'Джейсон Кларк']	Цель номер один	Zero Dark Thirty
165	Рамин Бахрани	112	6.706	1394	2014	['Эндрю Гарфилд', 'Майкл Шеннон']	99 домов	99 Homes
166	Сэм Лью	72	6.704	6302	2016	['Кевин Конрой', 'Марк Хэмилл']	Бэтмен: Убийственная шутка (видео)	Batman: The Killing Joke
167	Джейсон Момоа	91	6.704	906	2014	['Ти Александр', 'Henree Alyse']	Дорога чести	Road to Paloma
168	Вуди Аллен	95	6.702999999999999	27911	2015	['Хоакин Феникс', 'Эмма Стоун']	Иррациональный человек	Irrational Man
169	Адам Роджерс	99	6.697	2612	2013	['Энди Гарсиа', 'Вера Фармига']	Миддлтон	At Middleton
170	Пол Фиг	117	6.696000000000001	55096	2013	['Сандра Буллок', 'Мелисса МакКарти']	Копы в юбках	The Heat
171	Ребекка Томас	96	6.696000000000001	2656	2012	['Джулия Гарнер', 'Лиам Эйкен']	Уже не дети	Electrick Children
172	Келли Фрэмон	104	6.692	10442	2016	['Хейли Стайнфелд', 'Хейли Лу Ричардсон']	Почти семнадцать	The Edge of Seventeen
173	Михаэль Р. Роскам	107	6.683	25753	2014	['Том Харди', 'Нуми Рапас']	Общак	The Drop
174	Пол Хаггис	137	6.675	9162	2013	['Лиам Нисон', 'Мила Кунис']	Третья персона	Third Person
175	Фил Лорд	112	6.672999999999999	71121	2014	['Джона Хилл', 'Ченнинг Татум']	Мачо и ботан 2	22 Jump Street
176	Оливер Стоун	130	6.671	30686	2012	['Тейлор Китч', 'Блейк Лайвли']	Особо опасны	Savages
177	Джон Эрик Даудл	103	6.67	13642	2014	['Оуэн Уилсон', 'Лэйк Белл']	Выхода нет	No Escape
178	Джиа Коппола	98	6.665	7802	2013	['Джек Килмер', 'Нат Вулф']	Пало-Альто	Palo Alto
179	Боаз Якин	94	6.662000000000001	39403	2012	['Джейсон Стэйтем', 'Катрин Чан']	Защитник	Safe
180	Дэвид Гордон Грин	118	6.6610000000000005	10226	2013	['Николас Кейдж', 'Тай Шеридан']	Джо	Joe
181	Эдгар Райт	109	6.659	43954	2013	['Саймон Пегг', 'Ник Фрост']	Армагеддец	The World's End
182	Шэрон Магуайр	123	6.657	26260	2016	['Рене Зеллвегер', 'Колин Фёрт']	Бриджит Джонс 3	Bridget Jones's Baby
183	Пол Томас Андерсон	137	6.65	20129	2012	['Хоакин Феникс', 'Филип Сеймур Хоффман']	Мастер	The Master
184	Дэнни Бойл	122	6.648	30249	2015	['Майкл Фассбендер', 'Сет Роген']	Стив Джобс	Steve Jobs
185	Бен Янгер	117	6.646	7243	2016	['Майлз Теллер', 'Аарон Экхарт']	Пазманский дьявол	Bleed for This
186	Питер Сэттлер	117	6.644	6563	2014	['Кристен Стюарт', 'Пейман Моаади']	Лагерь 'X-Ray'	Camp X-Ray
187	Джон Уэллс	101	6.643	34542	2015	['Брэдли Купер', 'Сиенна Миллер']	Шеф Адам Джонс	Burnt
188	Джейсон Бейтман	89	6.641	4674	2013	['Джейсон Бейтман', 'Кэтрин Хан']	Плохие слова	Bad Words
189	Нильс Арден Оплев	118	6.638999999999999	17676	2012	['Колин Фаррелл', 'Нуми Рапас']	Одним меньше	Dead Man Down
190	Питер Берг	130	6.6370000000000005	3295	2016	['Марк Уолберг', 'Кевин Бейкон']	День патриота	Patriots Day
191	Ли Толанд Кригер	89	6.635	2306	2012	['Рашида Джонс', 'Энди Сэмберг']	Селеста и Джесси навеки	Celeste & Jesse Forever
192	Ким Чжи Ун	107	6.632999999999999	37897	2013	['Арнольд Шварценеггер', 'Форест Уитакер']	Возвращение героя	The Last Stand
193	Нир Панири	89	6.63	3376	2012	['Саша Ройз', 'Дженни Моллен']	Извлечение	Extracted
194	Джейсон Райтман	0	6.626	9434	2014	['Адам Сэндлер', 'Дженнифер Гарнер']	Мужчины, женщины и дети	Men
195	Терренс Малик	129	6.626	2967	2015	['Натали Портман', 'Майкл Фассбендер']	Песня за песней	Song to Song
196	Гильермо дель Торо	120	6.625	70668	2015	['Миа Васиковска', 'Джессика Честейн']	Багровый пик	Crimson Peak
197	Скотт Дерриксон	110	6.625	62847	2012	['Итан Хоук', 'Джульет Райлэнс']	Синистер	Sinister
198	Александр Ажа	108	6.619	12060	2016	['Джейми Дорнан', 'Эйден Лонгуорт']	Девятая жизнь Луи Дракса	The 9th Life of Louis Drax
